star_name,has_planets,planet_count,planet_count_override,confirmed_exoplanet_count,distance_ly,planet_names,notes,hyg_id,nasa_hosts,match_method,controversial_planet_count,distance_pc,spectral_type,hyg_luminosity_solar,apparent_magnitude,hip,hd,hr,gliese,bayer_flamsteed,proper_name,ra_deg_j2000,dec_deg_j2000,x_ly,y_ly,z_ly,component,primary_hyg_id,archive_planet_count,solar_system_planet_count,x_pc,y_pc,z_pc,system_id,faction_owners
Gl 820B,Unknown,0,,0,11.408950092531683,,,103883,,,0,3.498,K7V,0.04051352202292637,6.05,104217,201092,8086,Gl 820B,61    Cyg,,316.727445,38.742055,6.478356068365689,-6.098436073346118,7.138721624765002,2,103879,0,0,1.986273,-1.869789,2.188742,hyg:103879,
Procyon,Unknown,0,,0,11.461787425721795,,,37173,,,0,3.5142,F5IV-V,7.4404636619191935,0.4,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,114.825495,5.224993,-4.792254796557436,10.359281022125886,1.0437786862242306,1,37173,0,0,-1.469312,3.17617,0.320024,hyg:37173,
Gl 15B,Unknown,0,,0,11.637259556933403,,,117979,,,0,3.568,M6 Ve,0.000417637992951,11.06,,,,Gl 15B,,,4.5774,44.023502,8.342310412942883,0.6701861249323642,8.088658597992572,2,1472,0,0,2.557764,0.20548,2.479994,hyg:1472,
Struve 2398 A,Yes,1,,1,11.640847277088287,Gl 725 A b,,91484,Gl 725 A,catalog identifier,0,3.5691,K5,0.002945777902339458,8.94,91768,173739,,Gl 725A,,Struve 2398 A,280.697685,59.630396,1.092154200167178,-5.7830950411144615,10.043493155656758,1,91484,1,0,0.334856,-1.773105,3.079349,hyg:91484,
Groombridge 34,Yes,2,,2,11.700207737832732,GJ 15 A b; GJ 15 A c,,1472,GJ 15 A,catalog identifier,1,3.5873,M1V,0.006510284984348607,8.09,1475,1326,,Gl 15A,,Groombridge 34,4.59261,44.022954,8.386377401136192,0.6740673858271934,8.13126440561371,1,1472,2,0,2.571275,0.20667,2.493057,hyg:1472,
Gl 845,Yes,1,,1,11.81468862641131,eps Ind A b,,108526,eps Ind A,verified alias,0,3.6224,K5V,0.15205475297324955,4.69,108870,209100,8387,Gl 845,Eps Ind,,330.83229,-56.785977,5.650949523118745,-3.1530026268444153,-9.883539544896914,1,108526,1,0,1.732589,-0.966715,-3.030307,hyg:108526,
GJ 1111,Unknown,0,,0,11.82577794325368,,,118541,,,0,3.6258,M6.5,1.36395486751e-05,14.81,,,,GJ 1111,,,127.45866000000001,26.778532,-6.420231740292789,8.380102152428922,5.327647013707025,1,118541,0,0,-1.968452,2.569351,1.633464,hyg:118541,
Gl 71,Yes,3,,3,11.905360099416564,tau Cet f; tau Cet g; tau Cet h,,8087,tau Cet,catalog identifier,3,3.6502,G8V,0.46644452520377955,3.49,8102,10700,509,Gl 71,52Tau Cet,,26.017185,-15.93748,10.28724286297959,5.021203527459481,-3.2689349113038313,1,8087,3,0,3.154083,1.539508,-1.00226,hyg:8087,
Gl 54.1,Yes,3,,3,12.034844181370113,YZ Cet b; YZ Cet c; YZ Cet d,,5632,YZ Cet,catalog identifier,0,3.6899,M5.5Ve,0.0001713957307508,12.1,5643,,,Gl 54.1,,,18.12753,-16.998967,10.938541272078378,3.581115488235412,-3.5186793728490966,1,5632,3,0,3.353772,1.097975,-1.078832,hyg:5632,
HIP 82724,Unknown,0,,0,12.0560443459217,,,82472,,,0,3.6964,Mp,0.000216570849471,11.85,82724,,,,,,253.632945,-62.399734,-1.5738806469272535,-5.359238520452668,-10.684083850875107,1,82472,0,0,-0.482554,-1.64315,-3.275755,hyg:82472,
Luyten's Star,Yes,2,,2,12.402422419056881,GJ 273 b; GJ 273 c,GJ 273: Catalog distances differ by >20%; HYG controls selection.,36107,GJ 273,catalog identifier,0,3.8026,M5,0.0014588142602753474,9.84,36208,,,Gl 273,,Luyten's Star,111.852075,5.225785,-4.597333960542578,11.463927011559615,1.1296687067321578,1,36107,2,0,-1.409549,3.514856,0.346358,hyg:36107,
Kapteyn's Star,Yes,1,,1,12.757280558012699,Kapteyn c,,24129,Kapteyn,verified alias,1,3.9114,M0V,0.0038089037649813515,8.86,24186,33793,,Gl 191,,Kapteyn's Star,77.91253499999999,-45.018417,1.8884356422886124,8.823097529335135,-9.028726079230433,1,24129,1,0,0.578997,2.705174,-2.76822,hyg:24129,
Lacaille 8760,Unknown,0,,0,12.870782977458125,,,104751,,,0,3.9462,M1/M2V,0.028602236939542804,6.69,105090,202560,,Gl 825,,Lacaille 8760,319.31587499999995,-38.867362,7.599456647055229,-6.533421049615607,-8.077187678188274,1,104751,0,0,2.330004,-2.003156,-2.476477,hyg:104751,
Kruger 60,Unknown,0,,0,13.049516672446902,,,110547,,,0,4.001,M2V,0.002034229743211725,9.59,110893,239960,,Gl 860A,,Kruger 60,336.99963,57.695875,6.418865145070155,-2.7249386889100755,11.028932250598796,1,110547,0,0,1.968033,-0.83547,3.381486,hyg:110547,
Gl 860B,Unknown,0,,0,13.071369149753922,,,119505,,,0,4.0077,M6 V,0.0004222795013061,11.3,,,,Gl 860B,,,337.009005,57.696623,6.427400657475003,-2.7284481315343077,11.043847381751782,2,110547,0,0,1.97065,-0.836546,3.386059,hyg:110547,
Gl 234B,Unknown,0,,0,13.42818422697604,,,118428,,,0,4.1171,,2.13402744285e-05,14.6,,,,Gl 234B,,,97.349085,-2.812227,-1.7155923314814014,13.301837769376128,-0.6588260982964901,2,30847,0,0,-0.526003,4.078362,-0.201997,hyg:30847,
Ross 614,Unknown,0,,0,13.459821395614565,,,30847,,,0,4.1268,M4.5Ve,0.0005286886658509,11.12,30920,,,Gl 234A,,Ross 614,97.347495,-2.813979,-1.7193202988787037,13.33368367809639,-0.6608156522005622,1,30847,0,0,-0.527146,4.088126,-0.202607,hyg:30847,
HIP 82725,Unknown,0,,0,13.52407420202476,,,82473,,,0,4.1465,,0.000307043565073,11.72,82725,,,,,,253.634565,-62.403319,-1.7651550546392376,-6.011150103541563,-11.985447797964913,1,82473,0,0,-0.541199,-1.843027,-3.674755,hyg:82473,
Van Maanen's Star,Unknown,0,,0,13.902741756553901,,,3820,,,0,4.2626,DG,0.0001783199772233,12.37,3829,,,Gl 35,,Van Maanen's Star,12.29124,5.38861,13.525564736670926,2.9468848423825422,1.3057605350614274,1,3820,0,0,4.146957,0.903519,0.400348,hyg:3820,
GJ 1061,Yes,3,,3,13.99797941884719,GJ 1061 b; GJ 1061 c; GJ 1061 d,,118236,GJ 1061,catalog identifier,0,4.2918,M4.5,9.8446436398e-05,13.03,,,,GJ 1061,,,53.99556,-44.511897,5.865945284182069,8.073668450872711,-9.811044766821812,1,118236,3,0,1.798507,2.475398,-3.00808,hyg:118236,
Wolf 1061,Yes,3,,3,13.999284044358058,Wolf 1061 b; Wolf 1061 c; Wolf 1061 d,,80579,Wolf 1061,catalog identifier,0,4.2922,M4,0.0014628506869998534,10.1,80824,,,Gl 628,,Wolf 1061,247.57525499999997,-12.662594,-5.2102731180581,-12.625588397382009,-3.068691203204637,1,80579,3,0,-1.597477,-3.871023,-0.940865,hyg:80579,
Gl 473A,Unknown,0,,0,14.04625056274927,,,118830,,,0,4.3066,dM5.5eJ,9.8265258283e-05,13.04,,,,Gl 473A,,,188.32167,9.020714,-13.726470542216886,-2.007701244928294,2.2023318017669835,1,118830,0,0,-4.208555,-0.615564,0.675238,hyg:118830,
Gl 473B,Unknown,0,,0,14.04625056274927,,,118831,,,0,4.3066,M7,7.73392578049e-05,13.3,,,,Gl 473B,,,188.32167,9.020714,-13.726470542216886,-2.007701244928294,2.2023318017669835,2,118830,0,0,-4.208555,-0.615564,0.675238,hyg:118830,
Gl 1,Unknown,0,,0,14.154860636528944,,,442,,,0,4.3399,M2V,0.0061773185859152,8.56,439,225213,,Gl 1,,,1.3482450000000001,-37.357364,11.24862466350124,0.2654391064409944,-8.589354299680652,1,442,0,0,3.448844,0.081384,-2.633508,hyg:442,
GJ 3522,Unknown,0,,0,14.56059917040857,,,118583,,,0,4.4643,k,0.0007648917910071,10.89,,,,GJ 3522,,,134.73354,8.475397,-10.135997627504782,10.230700393338616,2.146007856899079,1,118583,0,0,-3.107711,3.136747,0.657969,hyg:118583,
