nasa_host,planet_count,status,hyg_id,hyg_name,hyg_distance_ly,nasa_distance_ly,method,evidence,angular_separation_arcsec,distance_difference_percent,candidate_hyg_ids,notes
DP Leo,1,unmatched_other,,,,997.0078616596497,unassigned,DP Leo,,,,Position candidates require review; component identity is preserved.
DS Tuc A,1,unmatched_other,,,,143.71167546230686,unassigned,DS Tuc A,,,,Position candidates require review; component identity is preserved.
EPIC 201170410,1,unmatched_other,,,,,unassigned,EPIC 201170410,,,,Position candidates require review; component identity is preserved.
EPIC 201238110,1,unmatched_other,,,,519.4333855879082,unassigned,EPIC 201238110,,,,Position candidates require review; component identity is preserved.
EPIC 201427007,1,unmatched_other,,,,2303.9392981170804,unassigned,EPIC 201427007,,,,Position candidates require review; component identity is preserved.
EPIC 201497682,1,unmatched_other,,,,825.260436281567,unassigned,EPIC 201497682,,,,Position candidates require review; component identity is preserved.
EPIC 201595106,2,unmatched_other,,,,757.0089526805613,unassigned,EPIC 201595106,,,,Position candidates require review; component identity is preserved.
EPIC 201757695,1,unmatched_other,,,,,unassigned,EPIC 201757695,,,,Position candidates require review; component identity is preserved.
EPIC 201841433,1,unmatched_other,,,,1423.6334499682587,unassigned,EPIC 201841433,,,,Position candidates require review; component identity is preserved.
EPIC 206024342,3,unmatched_other,,,,1206.4133024089074,unassigned,EPIC 206024342,,,,Position candidates require review; component identity is preserved.
EPIC 206032309,1,unmatched_other,,,,526.3022389026229,unassigned,EPIC 206032309,,,,Position candidates require review; component identity is preserved.
EPIC 206042996,2,unmatched_other,,,,1473.4734060471542,unassigned,EPIC 206042996,,,,Position candidates require review; component identity is preserved.
EPIC 206215704,1,unmatched_other,,,,358.40672034537494,unassigned,EPIC 206215704,,,,Position candidates require review; component identity is preserved.
EPIC 206317286,2,unmatched_other,,,,1025.2725733525826,unassigned,EPIC 206317286,,,,Position candidates require review; component identity is preserved.
EPIC 211822797,1,unmatched_other,,,,607.2933906172445,unassigned,EPIC 211822797,,,,Position candidates require review; component identity is preserved.
EPIC 211945201,1,unmatched_other,,,,592.593522673551,unassigned,EPIC 211945201,,,,Position candidates require review; component identity is preserved.
EPIC 212297394,2,unmatched_other,,,,1364.6219765479682,unassigned,EPIC 212297394,,,,Position candidates require review; component identity is preserved.
EPIC 212424622,1,unmatched_other,,,,1995.4377651261443,unassigned,EPIC 212424622,,,,Position candidates require review; component identity is preserved.
EPIC 212499991,1,unmatched_other,,,,923.9684024337622,unassigned,EPIC 212499991,,,,Position candidates require review; component identity is preserved.
EPIC 212587672,2,unmatched_other,,,,1043.9287181579803,unassigned,EPIC 212587672,,,,Position candidates require review; component identity is preserved.
EPIC 212624936,2,unmatched_other,,,,1832.7672717399184,unassigned,EPIC 212624936,,,,Position candidates require review; component identity is preserved.
EPIC 212737443,2,unmatched_other,,,,1096.7008200725495,unassigned,EPIC 212737443,,,,Position candidates require review; component identity is preserved.
